"A70","Chlamydia psittaci infection",2,"A-4-13","Q-5-42"
"A710","Initial stage of trachoma",1,"H-4-12","Q-5-42"
"A711","Active stage of trachoma",1,"H-4-12","Q-5-42"
"A719","Trachoma, unspecified",1,"H-4-12","Q-5-42"
"A740","Chlamydial conjunctivitis",2,"H-4-12","Q-5-42"
"B580","Toxoplasma oculopathy",1,"H-4-12","Q-5-42"
"B300","Keratoconjunctivitis due to adenovirus",1,"H-4-12","Q-5-42"
"B301","Conjunctivitis due to adenovirus",1,"H-4-12","Q-5-42"
"C690","Malignant neoplasm, conjunctiva",1,"H-4-12","Q-5-44"
"C691","Malignant neoplasm, cornea",1,"H-4-12","Q-5-44"
"C692","Malignant neoplasm, retina",1,"H-4-12","Q-5-44"
"C693","Malignant neoplasm, choroid",1,"H-4-12","Q-5-44"
"C694","Malignant neoplasm, ciliary body",1,"H-4-12","Q-5-44"
"C695","Malignant neoplasm, lacrimal gland and duct",1,"H-4-12","Q-5-44"
"C696","Malignant neoplasm, orbit",1,"H-4-12","Q-5-44"
"C698","Malignant neoplasm, overlapping lesion of eye and adnexa",1,"H-4-12","Q-5-44"
"C699","Malignant neoplasm, eye, unspecified",1,"H-4-12","Q-5-44"
"D310","Benign neoplasm, conjunctiva",1,"H-4-12","Q-5-44"
"D311","Benign neoplasm, cornea",1,"H-4-12","Q-5-44"
"D312","Benign neoplasm, retina",1,"H-4-12","Q-5-44"
"D313","Benign neoplasm, choroid",1,"H-4-12","Q-5-44"
"D314","Benign neoplasm, ciliary body",1,"H-4-12","Q-5-44"
"D315","Benign neoplasm, lacrimal gland and duct",1,"H-4-12","Q-5-44"
"D316","Benign neoplasm, orbit, unspecified",1,"H-4-12","Q-5-44"
"D319","Benign neoplasm, eye, unspecified",1,"H-4-12","Q-5-44"
"E100","Insulin-dependent diabetes mellitus with coma",3,"E-4-10","Q-5-36"
"E101","Insulin-dependent diabetes mellitus with ketoacidosis",3,"E-4-10","Q-5-36"
"E102","Insulin-dependent diabetes mellitus with renal complications",2,"N-4-16","Q-5-44"
"E103","Insulin-dependent diabetes mellitus with ophthalmic complications",2,"H-4-12","Q-5-44"
"E104","Insulin-dependent diabetes mellitus with neurological complications",2,"G-4-17","Q-5-44"
"E105","Insulin-dependent diabetes mellitus with peripheral circulatory complications",2,"I-4-15","Q-5-44"
"E106","Insulin-dependent diabetes mellitus with other specified complications",2,"E-4-10","Q-5-44"
"E107","Insulin-dependent diabetes mellitus with multiple complications",2,"E-4-10","Q-5-44"
"E108","Insulin-dependent diabetes mellitus with unspecified complications",2,"E-4-10","Q-5-44"
"E109","Insulin-dependent diabetes mellitus without complications",1,"E-4-10","Q-5-44"
"E110","Non-insulin-dependent diabetes mellitus with coma",3,"E-4-10","Q-5-36"
"E111","Non-insulin-dependent diabetes mellitus with ketoacidosis",3,"E-4-10","Q-5-36"
"E112","Non-insulin-dependent diabetes mellitus with renal complications",2,"N-4-16","Q-5-44"
"E113","Non-insulin-dependent diabetes mellitus with ophthalmic complications",2,"H-4-12","Q-5-44"
"E114","Non-insulin-dependent diabetes mellitus with neurological complications",2,"G-4-17","Q-5-44"
"E115","Non-insulin-dependent diabetes mellitus with peripheral circulatory complications",2,"I-4-15","Q-5-44"
"E116","Non-insulin-dependent diabetes mellitus with other specified complications",2,"E-4-10","Q-5-44"
"E117","Non-insulin-dependent diabetes mellitus with multiple complications",2,"E-4-10","Q-5-44"
"E118","Non-insulin-dependent diabetes mellitus with unspecified complications",2,"E-4-10","Q-5-44"
"E119","Non-insulin-dependent diabetes mellitus without complications",1,"E-4-10","Q-5-44"
"H000","Hordeolum and other deep inflammation of eyelid",1,"H-4-12","Q-5-42"
"H001","Chalazion",1,"H-4-12","Q-5-42"
"H010","Blepharitis",1,"H-4-12","Q-5-42"
"H011","Noninfectious dermatoses of eyelid",1,"H-4-12","Q-5-42"
"H018","Other specified inflammation of eyelid",1,"H-4-12","Q-5-42"
"H019","Inflammation of eyelid, unspecified",1,"H-4-12","Q-5-42"
"H020","Entropion and trichiasis of eyelid",1,"H-4-12","Q-5-42"
"H021","Ectropion of eyelid",1,"H-4-12","Q-5-44"
"H022","Lagophthalmos",1,"H-4-12","Q-5-44"
"H023","Blepharochalasis",1,"H-4-12","Q-5-44"
"H024","Ptosis of eyelid",1,"H-4-11","Q-5-44"
"H025","Other disorders affecting eyelid function",1,"H-4-11","Q-5-44"
"H026","Xanthelasma of eyelid",1,"L-4-14","Q-5-44"
"H027","Other degenerative disorders of eyelid and periocular area",1,"H-4-12","Q-5-44"
"H028","Other specified disorders of eyelid",1,"H-4-12","Q-5-44"
"H029","Disorder of eyelid, unspecified",1,"H-4-12","Q-5-44"
"H030","Parasitic infestation of eyelid in diseases classified",1,"X-0-20","X-0-20"
"H031","Involvement of eyelid in other infectious diseases classified elsewhere",1,"X-0-20","X-0-20"
"H038","Involvement of eyelid in other diseases classified elsewhere",1,"X-0-20","X-0-20"
"H040","Dacryoadenitis",1,"H-4-12","Q-5-42"
"H041","Other disorders of lacrimal gland",1,"H-4-12","Q-5-44"
"H042","Epiphora",1,"H-4-12","Q-5-44"
"H043","Acute and unspecified inflammation of lacrimal passages",1,"H-4-12","Q-5-44"
"H044","Chronic inflammation of lacrimal passages",1,"H-4-12","Q-5-44"
"H045","Stenosis and insufficiency of lacrimal passages",1,"H-4-12","Q-5-44"
"H046","Other changes in lacrimal passages",1,"H-4-12","Q-5-44"
"H048","Other disorders of lacrimal system",1,"H-4-12","Q-5-44"
"H049","Disorder of lacrimal system, unspecified",1,"H-4-12","Q-5-44"
"H050","Acute inflammation of orbit",1,"H-4-12","Q-5-42"
"H051","Chronic inflammatory disorders of orbit",1,"H-4-12","Q-5-44"
"H052","Exophthalmic conditions",2,"H-4-12","Q-5-44"
"H053","Deformity of orbit",1,"H-4-12","Q-5-44"
"H054","Enophthalmos",2,"H-4-12","Q-5-44"
"H055","Retained (old) foreign body folowing penetrating wound of orbit",1,"H-4-12","Q-5-44"
"H058","Other disorders of orbit",1,"H-4-12","Q-5-44"
"H059","Disorder of orbit, unspecified",1,"H-4-12","Q-5-44"
"H060","Disorders of lacrimal system in diseases classified elsewhere",1,"X-0-20","X-0-20"
"H061","Parasitic infestation of orbit in diseases classified elsewhere",1,"X-0-20","X-0-20"
"H062","Dysthyroid exophthalmos",1,"X-0-20","X-0-20"
